# eps,sigma_cm2
# He electron impact ionization cross section (a_11s coefficients)
# eps = E_beam/IE_He (dimensionless)  sigma_cm2: cross section [cm^2]
1.227466355564982292e+00,6.965630755626705391e-18
1.232026533468452811e+00,7.095342491834410983e-18
1.236603652954409327e+00,7.224620452319206241e-18
1.241197776962768007e+00,7.353460541570270545e-18
1.245808968667274641e+00,7.481859597384144552e-18
1.250437291476372836e+00,7.609815343058255570e-18
1.255082809034075320e+00,7.737326341201604714e-18
1.259745585220839903e+00,7.864391949118112981e-18
1.264425684154447227e+00,7.991012275719443824e-18
1.269123170190883609e+00,8.117188139924847016e-18
1.273838107925224117e+00,8.242921030506742666e-18
1.278570562192523186e+00,8.368213067341936721e-18
1.283320598068703688e+00,8.493066964029006436e-18
1.288088280871453994e+00,8.617485991833693112e-18
1.292873676161124141e+00,8.741473944924849715e-18
1.297676849741629335e+00,8.865035106864552523e-18
1.302497867661353448e+00,8.988174218316790257e-18
1.307336796214057406e+00,9.110896445940031586e-18
1.312193701939791346e+00,9.233207352430031959e-18
1.317068651625809217e+00,9.355112867679678258e-18
1.321961712307487380e+00,9.476619261023899299e-18
1.326872951269246093e+00,9.597733114538246449e-18
1.331802436045474991e+00,9.718461297360569824e-18
1.336750234421461903e+00,9.838810941006047555e-18
1.341716414434324323e+00,9.958789415646424944e-18
1.346701044373945777e+00,1.007840430732530026e-17
1.351704192783914182e+00,1.019766339608171761e-17
1.356725928462465314e+00,1.031657463495527182e-17
1.361766320463427604e+00,1.043514612984642481e-17
1.366825438097172940e+00,1.055338612020654030e-17
1.371903350931568566e+00,1.067130296053273546e-17
1.377000128792934763e+00,1.078890510264324865e-17
1.382115841767004305e+00,1.090620107870969467e-17
1.387250560199886573e+00,1.102319948502319325e-17
1.392404354699035229e+00,1.113990896647190370e-17
1.397577296134217884e+00,1.125633820170810722e-17
1.402769455638491980e+00,1.137249588898351909e-17
1.407980904609182238e+00,1.148839073263213088e-17
1.413211714708862754e+00,1.160403143018032645e-17
1.418461957866341994e+00,1.171942666006457500e-17
1.423731706277652664e+00,1.183458506993764819e-17
1.429021032407043368e+00,1.194951526554448268e-17
1.434330008987976024e+00,1.206422580014976769e-17
1.439658709024125738e+00,1.217872516449936948e-17
1.445007205790384663e+00,1.229302177729841045e-17
1.450375572833869198e+00,1.240712397618927961e-17
1.455763883974931838e+00,1.252104000921319161e-17
1.461172213308176593e+00,1.263477802673947261e-17
1.466600635203476610e+00,1.274834607384693418e-17
1.472049224306998250e+00,1.286175208314254432e-17
1.477518055542226705e+00,1.297500386800253350e-17
1.483007204110996291e+00,1.308810911622171154e-17
1.488516745494525395e+00,1.320107538405726573e-17
1.494046755454452535e+00,1.331391009065335244e-17
1.499597310033880859e+00,1.342662051283353961e-17
1.505168485558421310e+00,1.353921378024816130e-17
1.510760358637243561e+00,1.365169687086434751e-17
1.516373006164128956e+00,1.376407660678647268e-17
1.522006505318528102e+00,1.387635965039544114e-17
1.527660933566622470e+00,1.398855250079526629e-17
1.533336368662388649e+00,1.410066149055592396e-17
1.539032888648668607e+00,1.421269278274167953e-17
1.544750571858242161e+00,1.432465236821431602e-17
1.550489496914904120e+00,1.443654606320121312e-17
1.556249742734546304e+00,1.454837950711827284e-17
1.562031388526241571e+00,1.466015816063802074e-17
1.567834513793333828e+00,1.477188730399368135e-17
1.573659198334530940e+00,1.488357203551002023e-17
1.579505522245002069e+00,1.499521727035210272e-17
1.585373565917479022e+00,1.510682773948358465e-17
1.591263410043361803e+00,1.521840798882589447e-17
1.597175135613828401e+00,1.532996237861059688e-17
1.603108823920948112e+00,1.544149508291672598e-17
1.609064556558799763e+00,1.555301008938576611e-17
1.615042415424593036e+00,1.566451119910667839e-17
